age_months,sex,area,normal,warning,low
12.0,M,SO,5,0,0
12.0,M,SE,5,2,0
12.0,M,GR,8,5,2
12.0,M,FI,6,4,2
12.0,M,EX,7,3,1
12.0,M,LA,6,3,1
12.0,F,SO,5,1,0
12.0,F,SE,5,2,0
12.0,F,GR,7,5,3
12.0,F,FI,6,3,1
12.0,F,EX,7,3,1
12.0,F,LA,5,2,0
12.5,M,SO,6,1,0
12.5,M,SE,6,3,1
12.5,M,GR,9,6,3
12.5,M,FI,6,4,2
12.5,M,EX,7,3,1
12.5,M,LA,6,3,1
12.5,F,SO,6,2,0
12.5,F,SE,6,3,1
12.5,F,GR,8,6,4
12.5,F,FI,7,4,2
12.5,F,EX,8,4,1
12.5,F,LA,6,3,0
13.0,M,SO,7,2,0
13.0,M,SE,8,5,2
13.0,M,GR,9,6,3
13.0,M,FI,6,4,2
13.0,M,EX,8,4,1
13.0,M,LA,7,4,1
13.0,F,SO,7,3,0
13.0,F,SE,8,4,2
13.0,F,GR,8,6,4
13.0,F,FI,7,4,2
13.0,F,EX,9,4,1
13.0,F,LA,6,3,1
13.5,M,SO,8,3,0
13.5,M,SE,9,6,3
13.5,M,GR,10,7,4
13.5,M,FI,7,5,3
13.5,M,EX,8,4,2
13.5,M,LA,7,4,2
13.5,F,SO,8,4,0
13.5,F,SE,9,5,3
13.5,F,GR,9,7,4
13.5,F,FI,8,4,2
13.5,F,EX,10,5,2
13.5,F,LA,7,4,1
14.0,M,SO,9,4,1
14.0,M,SE,10,7,4
14.0,M,GR,11,8,5
14.0,M,FI,7,5,3
14.0,M,EX,9,5,2
14.0,M,LA,8,5,2
14.0,F,SO,9,5,1
14.0,F,SE,10,6,4
14.0,F,GR,9,7,5
14.0,F,FI,8,5,3
14.0,F,EX,10,5,2
14.0,F,LA,7,4,1
14.5,M,SO,9,4,1
14.5,M,SE,11,8,5
14.5,M,GR,11,8,5
14.5,M,FI,7,5,3
14.5,M,EX,9,5,2
14.5,M,LA,8,5,2
14.5,F,SO,10,6,2
14.5,F,SE,11,7,5
14.5,F,GR,10,8,5
14.5,F,FI,8,5,3
14.5,F,EX,11,6,3
14.5,F,LA,8,5,2
15.0,M,SO,10,5,1
15.0,M,SE,12,9,6
15.0,M,GR,12,9,6
15.0,M,FI,8,6,4
15.0,M,EX,10,6,3
15.0,M,LA,9,6,3
15.0,F,SO,10,6,2
15.0,F,SE,12,8,6
15.0,F,GR,10,8,5
15.0,F,FI,9,5,3
15.0,F,EX,11,6,3
15.0,F,LA,8,5,2
15.5,M,SO,11,6,2
15.5,M,SE,12,9,7
15.5,M,GR,12,9,6
15.5,M,FI,8,6,4
15.5,M,EX,10,6,3
15.5,M,LA,9,6,3
15.5,F,SO,11,7,3
15.5,F,SE,13,9,7
15.5,F,GR,11,9,6
15.5,F,FI,9,6,4
15.5,F,EX,12,7,4
15.5,F,LA,9,6,3
16.0,M,SO,11,6,2
16.0,M,SE,13,10,7
16.0,M,GR,13,10,7
16.0,M,FI,9,7,5
16.0,M,EX,11,7,4
16.0,M,LA,10,7,4
16.0,F,SO,11,7,3
16.0,F,SE,14,10,8
16.0,F,GR,11,9,6
16.0,F,FI,9,6,4
16.0,F,EX,12,7,4
16.0,F,LA,9,6,3
16.5,M,SO,12,7,2
16.5,M,SE,13,10,8
16.5,M,GR,13,10,7
16.5,M,FI,9,7,5
16.5,M,EX,11,7,4
16.5,M,LA,10,7,4
16.5,F,SO,12,8,4
16.5,F,SE,15,11,9
16.5,F,GR,12,10,7
16.5,F,FI,10,7,5
16.5,F,EX,13,8,5
16.5,F,LA,10,7,4
17.0,M,SO,12,7,3
17.0,M,SE,14,10,8
17.0,M,GR,13,10,8
17.0,M,FI,10,7,5
17.0,M,EX,11,7,4
17.0,M,LA,10,7,4
17.0,F,SO,13,8,5
17.0,F,SE,16,12,9
17.0,F,GR,12,10,8
17.0,F,FI,10,8,5
17.0,F,EX,13,9,5
17.0,F,LA,11,8,5
17.5,M,SO,12,7,3
17.5,M,SE,14,11,8
17.5,M,GR,14,11,8
17.5,M,FI,10,8,6
17.5,M,EX,12,8,5
17.5,M,LA,11,8,5
17.5,F,SO,13,9,5
17.5,F,SE,16,12,10
17.5,F,GR,13,11,8
17.5,F,FI,11,8,6
17.5,F,EX,14,9,6
17.5,F,LA,11,8,5
18.0,M,SO,13,8,3
18.0,M,SE,15,11,9
18.0,M,GR,14,11,8
18.0,M,FI,10,8,6
18.0,M,EX,12,8,5
18.0,M,LA,11,8,5
18.0,F,SO,14,9,6
18.0,F,SE,17,13,10
18.0,F,GR,13,11,9
18.0,F,FI,11,9,6
18.0,F,EX,14,10,6
18.0,F,LA,12,9,6
18.5,M,SO,13,8,4
18.5,M,SE,16,12,9
18.5,M,GR,14,11,9
18.5,M,FI,11,8,6
18.5,M,EX,13,8,5
18.5,M,LA,12,8,5
18.5,F,SO,14,10,6
18.5,F,SE,18,14,10
18.5,F,GR,14,11,9
18.5,F,FI,11,9,7
18.5,F,EX,15,10,6
18.5,F,LA,13,9,6
19.0,M,SO,13,8,4
19.0,M,SE,16,12,9
19.0,M,GR,15,11,9
19.0,M,FI,11,9,6
19.0,M,EX,13,9,5
19.0,M,LA,12,9,5
19.0,F,SO,15,10,6
19.0,F,SE,19,14,11
19.0,F,GR,14,12,9
19.0,F,FI,12,9,7
19.0,F,EX,15,11,7
19.0,F,LA,14,10,6
19.5,M,SO,14,8,4
19.5,M,SE,17,13,10
19.5,M,GR,15,12,9
19.5,M,FI,11,9,7
19.5,M,EX,14,9,6
19.5,M,LA,13,9,6
19.5,F,SO,15,10,7
19.5,F,SE,19,15,11
19.5,F,GR,15,12,10
19.5,F,FI,12,10,7
19.5,F,EX,16,11,7
19.5,F,LA,15,10,7
20.0,M,SO,14,9,5
20.0,M,SE,17,13,10
20.0,M,GR,15,12,9
20.0,M,FI,12,9,7
20.0,M,EX,14,9,6
20.0,M,LA,13,9,6
20.0,F,SO,16,11,7
20.0,F,SE,20,15,12
20.0,F,GR,15,12,10
20.0,F,FI,12,10,8
20.0,F,EX,16,11,7
20.0,F,LA,15,10,7
20.5,M,SO,14,9,5
20.5,M,SE,18,14,11
20.5,M,GR,16,12,10
20.5,M,FI,12,9,7
20.5,M,EX,15,10,6
20.5,M,LA,14,10,6
20.5,F,SO,17,11,7
20.5,F,SE,20,16,12
20.5,F,GR,15,12,10
20.5,F,FI,12,10,8
20.5,F,EX,17,12,8
20.5,F,LA,16,11,7
21.0,M,SO,15,9,5
21.0,M,SE,18,14,11
21.0,M,GR,16,12,10
21.0,M,FI,12,10,7
21.0,M,EX,15,10,6
