order,question,category
1,"Здоровается, говоря ""Привет"" или что-то подобное.",SO
2,Сплетничает или ябедничает на других детей.,SO
3,"Сочувствует другим детям, старается помочь и утешить их.",SO
4,"Иногда говорит ""Нет"", когда пристают.",EX
5,Немного помогает в домашних делах.,SO
6,"Просит помочь, когда что-нибудь делает.",EX
7,"Говорит ""Я не могу"", ""Я не знаю"", или ""Это ты сделай"".",SO
8,Хорошо сосредоточивает внимание - слушает других.,SO
9,"Извиняется - например, говорит ""Прости"", сделав что-нибудь нехорошее.",SO
10,Командует другими детьми.,SO
11,Узнает знакомых взрослых и тянется к ним.,EX
12,"Играет в активные игры с другими детьми, например, в пятнашки, в прятки, в классики.",SO
13,"Просит помощи у других детей: просит помочь что-то сделать, просит информации или объяснений.",SO
14,Делает или строит какие-то вещи с другими детьми.,SO
15,"Играет в простые настольные игры, например, в шашки.",SO
16,"Говорит ""Посмотри (на меня)"", когда делает что-то.",SO
17,"Хочет спать с куклой, игрушечным медведем и т.п.",SO
18,"Понимает ""Подожди минутку"". Терпеливо ждет короткое время.",SO
19,Соблюдает правила простых настольных или карточных игр.,SO
20,С интересом рассматривает свое отражение в зеркале.,SO
21,"Говорит с другими детьми о том, как что-нибудь сделать, высказывает свои соображения и выслушивает соображения других детей.",SO
22,"Играет в игры, требующие соблюдения очередности, и обычно ждет своей очереди.",SO
23,"Обычно слушается, когда просят что-нибудь сделать или чего-нибудь не делать.",SO
24,Предлагает помочь другим.,SO
25,"Играет с другими детьми, делая что-нибудь вместе с ними.",SO
26,"Делает знакомые дела ""понарошку"", например, разговаривает по телефону или спит.",SO
27,Оправдывается.,SO
28,Проявляет привязанность к другим детям.,SO
29,"Положительно отзывается о себе - говорит ""Я хороший"", ""Я большой"" и т.п.",SO
30,"Начинает дела, в которых участвуют другие дети (бывает заводилой).",SO
31,"Играет в ""ролевые"" игры с другими детьми (типа ""дочки-матери""), изображая ""понарошку"" маму или папу, учителя, космонавта.",SO
32,Обычно выполняет указания (команды) во время групповых игр с товарищами.,SO
33,Выражает жалобы словами.,SO
34,Обычно делится игрушками или другими вещами - иногда может спорить из-за них.,SO
35,Защищает младших.,SO
36,"Иногда поступается своими желаниями ради интересов группы (например, если хочет играть в прятки, а другие дети - в мячик, может согласиться играть в мячик).",SO
37,Проявляет привязанность: обнимает или целует.,EX
38,Обычно хорошо реагирует на замечания - перестает плохо себя вести.,SO
39,"Хорошо входит в группы - слушает, делится, соблюдает очередь, вносит что-то свое.",SO
40,"Может руководить сверстниками, давая им указания и помогая.",SO
41,Ест ложкой самостоятельно.,SE
42,"Ест ложкой, почти не разливая.",SE
43,Моет и вытирает руки.,SE
44,Приучен(а) проситься на горшок “по-маленькому” и “по-большому”.,SE
45,Застегивает одну или несколько пуговиц.,SE
46,"Правильно застегивает все пуговицы на рубашке, блузке или пальто.",SE
47,Ест вилкой.,SE
48,Одевается и раздевается самостоятельно (кроме завязывания шнурков).,SE
49,"Открывая дверь, поворачивает ручку и тянет.",SE
50,Подносит чашку ко рту и пьет.,SE
51,Надевает рубашку или блузку самостоятельно.,SE
52,Снимает туфли и носки.,SE
53,Подает матери или отцу пустую тарелку.,SE
54,Вы уже разрешаете ему самостоятельно путешествовать по квартире; при этом за ним не обязательно все,SE
55,Полностью раздевается самостоятельно.,SE
56,"Помнит, где в доме держат разные вещи.",SE
57,Сам(а) ест крекеры или печенье.,SE
58,Пользуется маленьким ведерком или другой емкостью для переноски вещей.,SE
59,Надевает туфли на правильную ногу.,SE
60,"Сам(а) моется в ванне - может быть, с небольшой помощью.",SE
61,Держит свои вещи в порядке.,SE
62,Пользуется столовым ножом для намазывания.,SE
63,Снимает носки.,SE
64,Самостоятельно умывает лицо.,SE
65,Остается сухим всю ночь.,SE
66,Жует пищу.,SE
67,Пытается надевать туфли. Или надевает их.,SE
68,"Замечает, когда рубашка (блузка) или штаны вывернуты наизнанку, и выворачивает их на правильную",SE
69,Расстегивает молнии.,SE
70,Вытирает пролитое тряпкой или губкой.,SE
71,"Наливает молоко в чашку, не проливая.",SE
72,"Взбирается на стул, табуретку или ящик, чтобы достать что-нибудь.",SE
73,Берет ложку за ручку.,SE
74,Самостоятельно снимает расстегнутую рубашку или блузку.,SE
75,Самостоятельно чистит зубы.,SE
76,Наливает себе питье.,SE
77,Завязывает шнурки.,SE
78,"Переходя улицу, обычно смотрит в обе стороны.",SE
79,"Самостоятельно ходит в туалет, подтирается, спускает воду и моет руки.",SE
80,"Самостоятельно ест, одевается и моется - но может нуждаться в небольшой помощи.",SE
81,Ходит самостоятельно.,GR
82,Прыгает со ступенек двумя ногами вместе.,GR
83,Стоя бросает мяч.,GR
84,Бегает.,GR
85,"Бегает свободно, огибая углы и делая резкие остановки.",GR
86,"Ездит на трехколесном велосипеде, нажимая на педали.",GR
87,Самостоятельно поднимается и спускается по лестнице.,GR
88,"Самостоятельно поднимается и спускается по лестнице, ставя поочередно одну ногу на каждую ступеньку.",GR
89,Бьет ногой по мячу.,GR
90,Подпрыгивает на одной ноге без поддержки по крайней мере два раза подряд.,GR
91,На бегу перепрыгивает через попавшиеся препятствия.,GR
92,Устойчиво стоит на одной ноге без поддержки.,GR
93,Лазает на сооружения на детской площадке.,GR
94,Делает кувырок вперед.,GR
95,Прыгает на одной ноге без поддержки.,GR
96,Сам(а) раскачивается на качелях.,GR
97,Переворачивается со спины на живот.,GR
98,Устойчиво стоит без поддержки.,GR
99,Из положения стоя перепрыгивает через предметы или людей.,GR
100,"Переступает или ходит вдоль манежа или мебели, держась за нее.",GR
101,"Хорошо бегает, не падая.",GR
102,Стоит на одной ноге несколько секунд без поддержки.,GR
103,Самостоятельно влезает по лестнице на горку и съезжает с нее.,GR
104,Сидит без поддержки.,GR
